user_screen_name,user_followers_count
JosephHLow,303
sweetnitatweets,23
Cole307489271,424
oso1mex,1701
FronteraInform1,12
JersonPinzon26,333
BobbyTheCat4,39
BMo2xl,632
papa__bear,16
inatimeofdeceit,495
sk54345,13
ShittyShawn24,322
Garthicus2,467
SwampDrainX,4919
CIssagholian,8
geminigod,2374
dadjokesbydad,1036
authorjohnselby,1386
GreenePasco,195
summeryanks,71
mstytz,1839
sushi_roll321,6047
mrstytz,1057
Oahu_808,5896
no_green,143
ProLifeMike1,1
biggricc74,8774
DaCoach5,31
One_News_Page,1983
mh451,1458
MZeppola,1911
elpoliticonews,223483
bPositive_,7878
CarriRedmon,3
RockoKuma,669
carly52469484,7
EvanXMerz,627
CanberraDeclara,763
bstjames1973,73
304GFX,272
DontBHypocrites,1681
DJavierTH,2420
staylor2612,598
American_Talker,1673
realmacss,2
mobygrapefan,3399
SwissTony32,346
44artllc,2246
Voicechyk,1165
WhatstrumpuptoW,17
CaseyR58,3694
mobinfiltrator,10799
ladyamsm,72
HairlessComic,317
joon0u,88
debbie_gore,12
MorrisDCosta,4192
dashingclaire,3214
jt1667,39
IamCRod,13831
DanLewis198435,17
KatdaddyMars,1391
EkennaC,125
LincolnMitchell,3092
lngglobal,24855
FSBOHighlands,725
EricBuechelNet,4618
TweetyThings1,130
steinrich,384
GoinToCanada,3321
Toronto1,1967
nancydesantis8,21
OEimhear,1867
bpspencer109,322
SocietyLincoln,237
SynapticJunk,112
JoeKube39,118
Zeruyu,625
primeraedicionw,22751
DeborahDian,5254
Ppciervo,466
BeavSkier,176
JeffGarlick,31
ChiaTeapodcast,21
Katie8745,1536
SKEmploymentLaw,145
Rude_Report,32
BeautyWithinTV,774
LoveIrreverence,1486
ayalaEdwing,96
nboatr1,2121
festivals4fun,874
DLFNachrichten,42846
Not_Cambrey,183
EuniceRendon,28263
lauriebidaho,5236
Kenville11,0
Joeydoyle100,25303
DietColaNation,1547
Headstrike85,993
PilF45,0
HardyGreen4,4
BlueWav81566103,47
sofistic8ed,145
JasonMarino1,374
64TB12,99
Eusebius64,591
marylougeorge2,5296
KellyBa21240868,9
mfly1971,242
ADream2Resume,11
lkay54,1736
MayaCohn,235
Jayda_Diamonde,22031
madamyez,1704
rogerprice,508
OhMyGolie,172
DrLimerick,3
guga_robalino,665
CWilson21883796,15
icitizen12,1182
KareemLumumba,484
kollitssedud,176
yoURDATAisyours,3588
leftiesbdam,0
newsdoneright,358
aethcolombia,3222
atmalenyqld,309
trumpordump1,3
trumperyresist,3245
CrabDiving,7606
NulaTweets,760
Joelwhct,2
BytheEm,1540
EnlaceMexicoMX,2174
eLegaspiFrias,515
smdus1969,2
LukeRas,147
proud4resisting,2044
mikepicone55,2632
louretire,580
aliensky0,2461
TsunamiRenee,3942
Bubbathewhale,51
JoLearAVO,411
fkgator,558
